experiment	point	arm	sample	operations	warmups	create_mean_ns	remove_mean_ns
exact-r2	notify-B	original-cb1	4	128	16	21377.046875	9579.3828125
exact-r2	notify-B	original-cb1	5	128	16	21469.0625	9654.0625
exact-r2	notify-B	original-cb1	6	128	16	21179.109375	9696.2421875
exact-r2	notify-B	original-cb1	7	128	16	21352.4765625	9596.28125
exact-r2	notify-B	original-cb1	8	128	16	21447.5	9530.765625
exact-r2	notify-B	original-cb1	9	128	16	21675.5546875	9593.6875
exact-r2	notify-B	control-scx	1	128	16	21097.8125	9651.5703125
exact-r2	notify-B	control-scx	2	128	16	21191.25	9604.5703125
exact-r2	notify-B	control-scx	3	128	16	21328.8984375	9587.03125
exact-r2	notify-B	control-scx	4	128	16	21350.0625	9682.5078125
exact-r2	notify-B	control-scx	5	128	16	21376.1484375	9637.1640625
exact-r2	notify-B	control-scx	6	128	16	21030.3359375	9605.96875
exact-r2	notify-B	control-scx	7	128	16	21312.9765625	9653.4609375
exact-r2	notify-B	control-scx	8	128	16	21408.1796875	9726.8046875
exact-r2	notify-B	control-scx	9	128	16	21437.4296875	9545.125
exact-r2	notify-B	control-disabled	1	128	16	20886.796875	9525
exact-r2	notify-B	control-disabled	2	128	16	21132.109375	9510.65625
exact-r2	notify-B	control-disabled	3	128	16	21409.7265625	9577.734375
exact-r2	notify-B	control-disabled	4	128	16	21515.9453125	9526.515625
exact-r2	notify-B	control-disabled	5	128	16	21256.8828125	9546.78125
exact-r2	notify-B	control-disabled	6	128	16	21032.265625	9601.203125
exact-r2	notify-B	control-disabled	7	128	16	21219.4140625	9687.859375
exact-r2	notify-B	control-disabled	8	128	16	21261.46875	9604.3515625
exact-r2	notify-B	control-disabled	9	128	16	21405.796875	9558.328125
exact-r2	guard-B	original-cb0	1	128	16	21689.7578125	7521.8515625
exact-r2	guard-B	original-cb0	2	128	16	21295.34375	6907.2734375
exact-r2	guard-B	original-cb0	3	128	16	21594.375	6924.953125
exact-r2	guard-B	original-cb0	4	128	16	21659.7265625	6921.578125
exact-r2	guard-B	original-cb0	5	128	16	21473.453125	6900.8046875
exact-r2	guard-B	original-cb0	6	128	16	21580.765625	6943.9453125
exact-r2	guard-B	original-cb0	7	128	16	21749.1875	6943.2734375
exact-r2	guard-B	original-cb0	8	128	16	21662	7015.1328125
exact-r2	guard-B	original-cb0	9	128	16	21345.6484375	6912.125
exact-r2	guard-B	original-cb1	1	128	16	21251.96875	6908.8671875
exact-r2	guard-B	original-cb1	2	128	16	21305.25	6915.7109375
exact-r2	guard-B	original-cb1	3	128	16	21367.453125	6922.953125
exact-r2	guard-B	original-cb1	4	128	16	21606.265625	6904.421875
exact-r2	guard-B	original-cb1	5	128	16	21579.953125	7001.1484375
exact-r2	guard-B	original-cb1	6	128	16	21637.78125	6942.1015625
exact-r2	guard-B	original-cb1	7	128	16	22890.1484375	6897.0546875
exact-r2	guard-B	original-cb1	8	128	16	21414.828125	7025.265625
exact-r2	guard-B	original-cb1	9	128	16	21611.59375	6898.734375
exact-r2	guard-B	control-scx	1	128	16	21261.3515625	7008.15625
exact-r2	guard-B	control-scx	2	128	16	21244.859375	6985.6328125
exact-r2	guard-B	control-scx	3	128	16	21357.2890625	6905.6796875
exact-r2	guard-B	control-scx	4	128	16	21517.7421875	6930.3203125
exact-r2	guard-B	control-scx	5	128	16	21253.7578125	6891.4375
exact-r2	guard-B	control-scx	6	128	16	21442.5546875	6976.2421875
exact-r2	guard-B	control-scx	7	128	16	21500.625	6892.96875
exact-r2	guard-B	control-scx	8	128	16	21488.2265625	6884.4765625
exact-r2	guard-B	control-scx	9	128	16	21388.7734375	6988.984375
exact-r2	guard-B	control-disabled	1	128	16	21022.2421875	6887.4296875
exact-r2	guard-B	control-disabled	2	128	16	21113.7265625	7042.1171875
exact-r2	guard-B	control-disabled	3	128	16	21339.1953125	6897.03125
exact-r2	guard-B	control-disabled	4	128	16	21502.53125	6889.203125
