case	point	sample	warmups	pace_ms	operations	between_stage_ns	cycle_ns	first4_cycle_ns	first4_mkdir_ns	first4_rmdir_ns	first4_stat_ns	first_cycle_ns	first_mkdir_ns	first_rmdir_ns	first_stat_ns	mkdir_ns	rmdir_ns	stat_ns	tail_cycle_ns	tail_mkdir_ns	tail_rmdir_ns	tail_stat_ns	workload_wall_per_cycle_ns
w0-p50	A1	2	0	50	32	48.75	82709.6875	78028.5	53409.75	17515	7055.75	56174	36116	15731	4281	56451.53125	18228.9375	7980.46875	83378.42857142857	56886.07142857143	18330.928571428572	8112.571428571428	50364872.40625
w0-p50	A1	3	0	50	32	47.90625	81035.6875	77370	52249.75	17936.5	7137.5	68517	46638	16693	5140	54472.5625	18647.34375	7867.875	81559.35714285714	54790.107142857145	18748.89285714286	7972.214285714285	50362641.4375
w0-p50	A1	4	0	50	32	49.3125	82589.15625	74635.5	52032.75	17399	5151.5	66350	42240	19207	4842	56289.78125	18179.1875	8070.875	83725.39285714286	56897.92857142857	18290.64285714286	8487.92857142857	50351676.6875
w0-p50	A1	5	0	50	32	56.4375	82453.84375	75694	51123	17631	6890	55929	35406	16520	3951	55869.65625	18388.46875	8139.28125	83419.53571428571	56547.75	18496.678571428572	8317.75	50357346.4375
w0-p50	A1	6	0	50	32	49.625	81156.90625	78405	53756.75	17679.25	6918.25	58410	37815	16480	4065	55427.71875	17936.125	7743.4375	81550.03571428571	55666.42857142857	17972.821428571428	7861.321428571428	50359962.25
w0-p50	A1	7	0	50	32	48.6875	80894	75138.5	50740.5	17406.25	6941.5	57555	37317	16129	4056	54698.40625	18073.84375	8073.0625	81716.21428571429	55263.82142857143	18169.214285714286	8234.714285714286	50359904.4375
w0-p50	A1	8	0	50	32	65.78125	80895.71875	79380	57849.75	16412	5032.5	75553	57488	15985	2008	55690.75	17762.53125	7376.65625	81112.25	55382.32142857143	17955.464285714286	7711.535714285715	50352701.3125
w0-p50	A1	9	0	50	32	62.75	80734.75	82264	54426.5	21242.5	6529	71228	49876	18475	2801	54419.28125	18382.65625	7870.0625	80516.28571428571	54418.25	17974.10714285714	8061.642857142857	50338362.9375
w0-p50	B1	1	0	50	32	58.28125	78161.28125	72136	49927.5	15345.25	6804	79586	57528	15692	6308	54674.03125	15698.96875	7730	79022.03571428571	55352.107142857145	15749.5	7862.285714285715	50349858.59375
w0-p50	B1	2	0	50	32	53.875	79378.0625	73686.5	51232.25	15048.25	7354.5	53679	35796	13671	4159	55044.15625	15779.90625	8500.125	80191.14285714286	55588.71428571428	15884.42857142857	8663.785714285714	50355786.5625
w0-p50	B1	3	0	50	32	52.3125	78281	73028	50913.75	15106.5	6952.25	55503	37358	14103	3994	54141.65625	15961.59375	8125.4375	79031.42857142857	54602.78571428572	16083.75	8293.035714285714	50347115.375
w0-p50	B1	4	0	50	32	53.78125	78527	72485.5	50042	15374.25	7012	51507	33701	13700	4051	54663.78125	15976.5625	7832.875	79390.07142857143	55324.03571428572	16062.607142857143	7950.142857142857	50343425.90625
w0-p50	B1	5	0	50	32	57.4375	78716.65625	75835.75	52725.25	15919.5	7129.5	59391	38361	16378	4583	54934.71875	15854.34375	7870.15625	79128.21428571429	55250.357142857145	15845.035714285714	7975.964285714285	50347618.53125
w0-p50	B1	6	0	50	32	65.46875	78399.375	73438.5	50932.5	15401.25	7041	54493	36549	13831	4054	54112.40625	16385.0625	7836.4375	79108.07142857143	54566.67857142857	16525.60714285714	7950.071428571428	50353449.375
w0-p50	B1	7	0	50	32	65.90625	79519.84375	75269	52788.25	15312.5	7098.75	54837	36969	13720	4084	55197.15625	16294.59375	7962.1875	80127.10714285714	55541.28571428572	16434.89285714286	8085.535714285715	50351359.71875
w0-p50	B1	8	0	50	32	47.875	78890.78125	65895.5	45103.25	14611.5	6130.5	54462	36547	13714	4152	55428.78125	15677.5	7736.625	80747.25	56903.857142857145	15829.785714285714	7966.071428571428	50348756.25
w0-p50	B1	9	0	50	32	56.75	79016.53125	75486.25	51936.5	15975	7517.5	68985	48159	15178	5594	55302.25	15720.5	7937.03125	79520.85714285714	55783.07142857143	15684.142857142857	7996.964285714285	50355180.9375
w0-p50	B2	1	0	50	32	49.03125	80188.90625	75526	53163.25	15291.25	7022	53467	35561	13821	4037	56629.59375	15647.875	7862.40625	80855.03571428571	57124.78571428572	15698.82142857143	7982.464285714285	50355562.25
w0-p50	B2	2	0	50	32	54.5	78850.59375	74369.25	52228.75	15085.5	7000	57198	39405	13607	4129	55048.71875	15694.0625	8053.3125	79490.78571428571	55451.57142857143	15781	8203.785714285714	50357274.96875
w0-p50	B2	3	0	50	32	59.875	80570.46875	76798	54450.25	15463.5	6823	54719	36518	14258	3871	56627.5	16078.40625	7804.6875	81109.39285714286	56938.53571428572	16166.25	7944.928571428572	50361882.8125
