experiment	case	metric	point	sample	operations	warmups	mean_ns
stage-followup	paced50	rmdir_ns	A2	7	128	16	18253.3125
stage-followup	paced50	rmdir_ns	A2	8	128	16	18431.4921875
stage-followup	paced50	rmdir_ns	A2	9	128	16	18082.1328125
stage-followup	paced50	cycle_ns	A1	1	128	16	79813.7265625
stage-followup	paced50	cycle_ns	A1	2	128	16	81625.859375
stage-followup	paced50	cycle_ns	A1	3	128	16	80595.03125
stage-followup	paced50	cycle_ns	A1	4	128	16	81918.75
stage-followup	paced50	cycle_ns	A1	5	128	16	80496.546875
stage-followup	paced50	cycle_ns	A1	6	128	16	81688.625
stage-followup	paced50	cycle_ns	A1	7	128	16	79630.4765625
stage-followup	paced50	cycle_ns	A1	8	128	16	81604.9609375
stage-followup	paced50	cycle_ns	A1	9	128	16	80032.859375
stage-followup	paced50	cycle_ns	B1	1	128	16	79140.7578125
stage-followup	paced50	cycle_ns	B1	2	128	16	79285.90625
stage-followup	paced50	cycle_ns	B1	3	128	16	79664.7734375
stage-followup	paced50	cycle_ns	B1	4	128	16	79761.4296875
stage-followup	paced50	cycle_ns	B1	5	128	16	79479.3046875
stage-followup	paced50	cycle_ns	B1	6	128	16	79211.25
stage-followup	paced50	cycle_ns	B1	7	128	16	79980.125
stage-followup	paced50	cycle_ns	B1	8	128	16	79623.6015625
stage-followup	paced50	cycle_ns	B1	9	128	16	78260.6796875
stage-followup	paced50	cycle_ns	B2	1	128	16	77716.5390625
stage-followup	paced50	cycle_ns	B2	2	128	16	80042.609375
stage-followup	paced50	cycle_ns	B2	3	128	16	77253.3125
stage-followup	paced50	cycle_ns	B2	4	128	16	79423.5390625
stage-followup	paced50	cycle_ns	B2	5	128	16	76892.5546875
stage-followup	paced50	cycle_ns	B2	6	128	16	78879.75
stage-followup	paced50	cycle_ns	B2	7	128	16	78324.828125
stage-followup	paced50	cycle_ns	B2	8	128	16	78531.4453125
stage-followup	paced50	cycle_ns	B2	9	128	16	78932.3046875
stage-followup	paced50	cycle_ns	A2	1	128	16	80571.484375
stage-followup	paced50	cycle_ns	A2	2	128	16	80727.7578125
stage-followup	paced50	cycle_ns	A2	3	128	16	79937.4375
stage-followup	paced50	cycle_ns	A2	4	128	16	81094.03125
stage-followup	paced50	cycle_ns	A2	5	128	16	81249.203125
